Barcode,Cluster
693279_1,Cnidocytes_1
418077_1,Cnidocytes_1
8811_1,Neurons_2
325166_1,Immune_cells_1
35780_1,Progenitors_1
605527_1,Cnidocytes_3
198880_1,Neurons_1_2
513897_1,Gastrodermis_2
838039_1,Muscle_cells
443889_1,Neurons_2
878382_1,Neurons_2
266485_1,Neurons_1_2
122354_1,Neurons_2
793510_1,Neurons_2
86950_1,Neurons_2
477545_1,Immune_cells_1
739187_1,Cnidocytes_1
130594_1,Cnidocytes_1
173507_1,Immune_cells_3
701407_1,Gastrodermis_2
408831_1,Immune_cells_1
252141_1,Immune_cells_2
860811_1,Immune_cells_1
693189_1,Progenitors_2
751048_1,Cnidocytes_1
68652_1,Digestive_filaments
136916_1,Gastrodermis_2
611201_1,Immune_cells_1
410959_1,Alga_hosting_cells_1
667475_1,Neurons_1_2
707142_1,Digestive_filaments
138401_1,Immune_cells_1
583985_1,Calicoblasts
185246_1,Immune_cells_1
502617_1,Gastrodermis_2
320617_1,Neurons_1_2
547447_1,Immune_cells_1
703166_1,Neurons_2
636191_1,Immune_cells_1
527140_1,Neurons_1_1
250026_1,Calicoblasts
142618_1,Calicoblasts
509985_1,Neurons_2
329598_1,Immune_cells_1
200008_1,Neurons_1_2
315615_1,Cnidocytes_1
633174_1,Alga_hosting_cells_2
297441_1,Neurons_1_2
571928_1,D.filaments_Alga_hosting_cells
293351_1,Cnidocytes_2
608440_1,Neurons_2
466293_1,Gastrodermis_2
756557_1,Immune_cells_1
98433_1,Neurons_2
306282_1,Immune_cells_1
91830_1,Gland_cells
492670_1,Neurons_1_2
387307_1,Cnidocytes_1
60965_1,Gastrodermis_2
72851_1,Neurons_1_3
706305_1,Digestive_filaments
638433_1,Cnidocytes_1
600071_1,Neurons_1_3
203206_1,Immune_cells_1
90323_1,Gastrodermis_2
48737_1,Immune_cells_2
650304_1,Alga_hosting_cells_1
264537_1,Immune_cells_1
127923_1,Neurons_1_2
718443_1,Gland_cells
86924_1,Neurons_2
95290_1,Cnidocytes_1
20410_1,Gastrodermis_2
861116_1,Neurons_2
384448_1,D.filaments_Alga_hosting_cells
194325_1,Cnidocytes_2
755332_1,Immune_cells_1
362874_1,Immune_cells_1
213105_1,Digestive_filaments
815797_1,Alga_hosting_cells_1
219607_1,Digestive_filaments
289438_1,Cnidocytes_1
135028_1,Immune_cells_1
532861_1,Immune_cells_1
608809_1,Cnidocytes_2
263092_1,Immune_cells_1
290193_1,Digestive_filaments
180580_1,Digestive_filaments
189103_1,Cnidocytes_3
285354_1,Progenitors_2
381443_1,Cnidocytes_2
225293_1,Gastrodermis_2
234302_1,Neurons_2
580659_1,Immune_cells_1
671713_1,Immune_cells_1
118373_1,Neurons_2
254195_1,Immune_cells_1
484388_1,Gastrodermis_2
301504_1,Immune_cells_1
677241_1,Neurons_1_2
316757_1,Digestive_filaments
223935_1,Cnidocytes_1
601358_1,Cnidocytes_2
867174_1,Neurons_1_2
641362_1,Digestive_filaments
487046_1,Cnidocytes_1
833808_1,Cnidocytes_3
260581_1,Immune_cells_3
461321_1,Cnidocytes_1
685560_1,Immune_cells_1
804333_1,Muscle_cells
760979_1,Cnidocytes_2
207332_1,Immune_cells_1
456736_1,Neurons_1_2
884303_1,Gastrodermis_2
524035_1,Progenitors_1
57655_1,Digestive_filaments
279693_1,Alga_hosting_cells_1
104341_1,Neurons_2
377023_1,Immune_cells_1
699080_1,Neurons_1_3
384378_1,Alga_hosting_cells_1
884573_1,Cnidocytes_1
511465_1,Neurons_2
728492_1,Immune_cells_1
691052_1,Immune_cells_1
531646_1,Neurons_1_2
121233_1,Neurons_1_2
292974_1,Immune_cells_2
317823_1,Cnidocytes_3
794914_1,Muscle_cells
277369_1,Immune_cells_1
23723_1,Neurons_2
335851_1,Cnidocytes_3
678026_1,Immune_cells_1
234287_1,Gastrodermis_2
195924_1,Neurons_1_3
595901_1,Neurons_1_2
546395_1,Progenitors_1
508957_1,Neurons_2
