Barcode,tSNE_1,tSNE_2
239463_1,-5.89213582800466,-0.52023555192722
714433_1,-18.1290413954147,-39.8939276899858
326004_1,-8.54091405892257,-7.26591344868948
18124_1,2.17982073859677,-42.1730881602521
460452_1,24.4683666195375,26.3461259168796
398782_1,-41.7953979268802,11.7688126158798
660214_1,6.52327169434187,-37.8082509657936
51405_1,-6.72073952237293,46.8354214471603
498648_1,-14.1172875549648,-19.6367266602905
842031_1,-4.37902994726153,45.6749619916458
179562_1,-11.9269030251682,-43.3831316048034
193155_1,-16.0614019241126,-33.204817677728
511677_1,-32.6355477004299,-1.55336207260941
720234_1,-32.4778525950388,-20.7641616681112
518572_1,-31.8883551474033,-20.6587925429506
352360_1,-10.6093351901723,-4.63096163685663
489627_1,-14.1436026024952,-21.9639380199257
219922_1,9.16068282207172,-30.1035075299812
658945_1,9.91360054591596,-33.163807099729
257668_1,-34.8392114157777,-20.7639772492987
755363_1,14.0570462182236,-36.1178440325334
839859_1,-17.7332736438822,-39.7024784777549
46986_1,6.31517073243835,-38.3790424084647
801202_1,-18.3091101438089,-29.6321206660913
615357_1,8.85577582732009,-30.2619442492134
742406_1,-6.5011136368306,47.4524569898175
697297_1,-5.35366371458898,46.9817945285896
828526_1,-6.83272700580137,46.1542975769218
707473_1,-9.39141387084128,45.1951229602399
264884_1,-7.04343496899921,45.5536301398341
170068_1,-3.94881896614489,-41.9246930228444
4058_1,-4.72389513990381,46.1056646013268
743709_1,-8.06834971680191,-42.7803971770532
265186_1,-6.96335610965809,46.7133149047458
638509_1,-8.17003461649878,-42.2327389967547
411167_1,22.7633171195099,28.6972027606189
442935_1,-36.991290659554,1.06987952804487
212962_1,-15.0980416277868,-23.0052693605867
843374_1,-31.8260223363071,22.1711716018421
735108_1,-35.1574103969984,-3.03977068608961
791852_1,-12.7687357996325,-44.2491944318961
240825_1,24.416753304374,26.038854666584
339061_1,-33.9180490108672,-19.3248550747274
229370_1,14.4454643614527,29.0971482653662
537202_1,-26.1697606352022,3.92244809191505
384818_1,-3.55776843840327,-41.8965538550359
481661_1,-10.0766749172745,-43.2338860629504
566194_1,-20.9620945616353,-11.7248365923096
432557_1,-2.25364421021105,-41.7491895915476
446484_1,-16.0162708978291,-21.9633666429691
47824_1,-11.4717792950763,-9.52837292286075
103490_1,6.253208872836,-38.0343660905441
491085_1,-34.5407095221988,-24.9232931816076
543924_1,-6.29781644091752,-42.1873663766649
711527_1,3.93175344807755,-32.9133844938018
212464_1,-15.8846429297926,-9.95307473546336
802115_1,-28.8799631519776,4.12621407828615
691897_1,-17.4069431862567,-40.9885746216899
25402_1,-6.56220853422357,47.2932922225392
787463_1,-5.79599851659929,46.4850646263768
514691_1,-3.80501397297038,-25.0036603231654
690074_1,-11.4716373251299,31.5676893658215
89202_1,-5.1041260343602,46.6985008874403
800806_1,30.4264166157684,25.0843451182956
180276_1,-9.45663626522609,-42.8611089561502
624428_1,25.7495991587941,-28.0214223150388
54233_1,-8.98030902583963,46.0072818280496
804561_1,-33.3177380644541,-21.5032957390052
840853_1,-35.1920013886605,-21.2845416520751
18434_1,-28.6876888638317,3.30558209684777
174381_1,-14.306300218212,-5.98316972002032
446273_1,-35.9833738115115,0.960838793099014
633695_1,-39.9737184189359,-1.96722270878245
392975_1,3.53242668843232,-42.6409440525912
266510_1,16.7301128066488,-36.207582691678
22593_1,-35.6183618850675,-20.2926587164818
164797_1,-34.3194200537829,-22.0160492381467
8076_1,-4.62079036149242,46.8893440205491
116668_1,-16.7759018390637,-9.22474851919209
230571_1,42.7413876726754,6.15039326550803
510781_1,8.72951716635982,-30.1401625977809
753215_1,-8.27235611703648,-42.3198060217689
